Data;Ostatnio;Otwarcie;Max.;Min.;Zmiana%;;;;;;;
29.07.2020;1,179;1,1718;1,1807;1,1714;0,65%;;;;;;;
28.07.2020;1,1714;1,1753;1,1774;1,1698;-0,31%;;;;;;;
27.07.2020;1,1751;1,1646;1,1782;1,1637;0,83%;;;;;;;
24.07.2020;1,1654;1,1597;1,1659;1,158;0,52%;;;;;;;
23.07.2020;1,1594;1,1575;1,1628;1,1539;0,22%;;;;;;;
22.07.2020;1,1568;1,1528;1,1602;1,1507;0,36%;;;;;;;
21.07.2020;1,1526;1,1447;1,154;1,1422;0,72%;;;;;;;
20.07.2020;1,1444;1,141;1,1468;1,1401;0,16%;;;;;;;
17.07.2020;1,1426;1,1384;1,1444;1,1377;0,38%;;;;;;;
16.07.2020;1,1383;1,1411;1,1443;1,137;-0,24%;;;;;;;
15.07.2020;1,141;1,14;1,1452;1,1391;0,12%;;;;;;;
14.07.2020;1,1396;1,1343;1,1409;1,1324;0,49%;;;;;;;
13.07.2020;1,134;1,13;1,1375;1,1297;0,37%;;;;;;;
10.07.2020;1,1298;1,1285;1,1326;1,1255;0,15%;;;;;;;
09.07.2020;1,1281;1,1329;1,1372;1,1279;-0,42%;;;;;;;
08.07.2020;1,1329;1,1273;1,1352;1,1262;0,52%;;;;;;;
07.07.2020;1,127;1,1308;1,1334;1,1258;-0,34%;;;;;;;
06.07.2020;1,1308;1,1242;1,1346;1,124;0,53%;;;;;;;
03.07.2020;1,1248;1,1239;1,1254;1,1219;0,09%;;;;;;;
02.07.2020;1,1238;1,1252;1,1303;1,1222;-0,11%;;;;;;;
01.07.2020;1,125;1,1233;1,1276;1,1185;0,17%;;;;;;;
30.06.2020;1,1231;1,1242;1,1263;1,1191;-0,08%;;;;;;;
29.06.2020;1,124;1,1227;1,1289;1,1216;0,21%;;;;;;;
26.06.2020;1,1217;1,1218;1,1241;1,1194;0,00%;;;;;;;
25.06.2020;1,1217;1,1251;1,1261;1,119;-0,29%;;;;;;;
24.06.2020;1,125;1,1308;1,1327;1,1248;-0,50%;;;;;;;
23.06.2020;1,1306;1,1259;1,135;1,1233;0,43%;;;;;;;
22.06.2020;1,1258;1,1185;1,1271;1,1168;0,74%;;;;;;;
19.06.2020;1,1175;1,1205;1,1255;1,1168;-0,24%;;;;;;;
18.06.2020;1,1202;1,1244;1,1264;1,1185;-0,36%;;;;;;;
17.06.2020;1,1243;1,1264;1,1295;1,1207;-0,18%;;;;;;;
16.06.2020;1,1263;1,1325;1,1353;1,1228;-0,52%;;;;;;;
15.06.2020;1,1322;1,1245;1,1334;1,1226;0,60%;;;;;;;
12.06.2020;1,1254;1,1299;1,1341;1,1212;-0,38%;;;;;;;
11.06.2020;1,1297;1,1373;1,1404;1,1287;-0,63%;;;;;;;
10.06.2020;1,1369;1,134;1,1423;1,1322;0,26%;;;;;;;
09.06.2020;1,134;1,1297;1,1365;1,1241;0,43%;;;;;;;
08.06.2020;1,1292;1,1289;1,1321;1,1267;0,07%;;;;;;;
05.06.2020;1,1284;1,1337;1,1385;1,1278;-0,46%;;;;;;;
04.06.2020;1,1336;1,1234;1,1363;1,1194;0,93%;;;;;;;
